id	keyword	def	note type=Mariette
CoEg_keyword_00000001	missions scientifiques	Voyages d'études financés par l'État	
CoEg_keyword_00000002	mission de Mariette (1850-1854, Égypte)	Premier voyage de Mariette en Égypte, au cours duquel il découvrit le Sérapéum	
CoEg_keyword_00000003	mission de Mariette (1857, Italie)	Voyage d'étude dans les musées d'Italie	
CoEg_keyword_00000004	mission de Mariette (1857, Égypte)	Second voyage en Égypte de Mariette, sous le prétexte de préparer celui du prince Napoléon	
CoEg_keyword_00000005	carrière	Évolution de carrière, gestion de congés, etc	
CoEg_keyword_00000006	fouilles du Sérapéum		
CoEg_keyword_00000007	objets découverts au Sérapéum	Produit des fouilles, listes, transport	
CoEg_keyword_00000008	publications		
CoEg_keyword_00000009	famille		
CoEg_keyword_00000010	santé		
CoEg_keyword_00000011	collection Anastasi	Acquisition de la collection d'Anastasi	
CoEg_keyword_00000012	contexte politique et diplomatique	Détails sur les positions des différents acteurs politiques et diplomatiques	Comprend notamment les négociations avec le gouvernement égyptien pour obtenir la cession des objets découverts au Sérapéum
CoEg_keyword_00000013	anecdotes	Épisode notable, bon mot, etc	
CoEg_keyword_00000014	financements	Réclamation de fonds et considérations sur les budgets alloués aux travaux	
